model,loop,scale,dloc,concurrence
BHZ,C_minus,0.31,0.11154209531145289,0.1113684848251166
BHZ,C_minus,0.32,0.11513630957439543,0.11494535965535234
BHZ,C_minus,0.33,0.11873015079579574,0.1185207446625658
BHZ,C_minus,0.34,0.12232360733161127,0.12209459687735624
BHZ,C_minus,0.35000000000000003,0.12591666753904607,0.12566686155562365
BHZ,C_minus,0.36,0.12950931977658817,0.12923749921718555
BHZ,C_minus,0.37,0.13310155240404747,0.13280646509859956
BHZ,C_minus,0.38,0.1366933537825935,0.13637370642739932
BHZ,C_minus,0.39,0.1402847122747928,0.1399391818462454
BHZ,C_minus,0.4,0.1438756162446471,0.1435028499591618
BHZ,C_minus,0.41000000000000003,0.14746605405763055,0.14706465280240294
BHZ,C_minus,0.42,0.15105601408072797,0.15062454845576614
BHZ,C_minus,0.43,0.1546454846824718,0.15418249172297216
BHZ,C_minus,0.44,0.15823445423298058,0.15773842948120978
BHZ,C_minus,0.45,0.16182291110399602,0.16129233767819787
BHZ,C_minus,0.46,0.1654108436689212,0.16484414993677685
BHZ,C_minus,0.47000000000000003,0.16899824030285748,0.16839382665699523
BHZ,C_minus,0.48,0.17258508938264303,0.1719413174670843
BHZ,C_minus,0.49,0.17617137928688995,0.17548658171334655
BHZ,C_minus,0.5,0.17975709839602208,0.17902957076781692
BHZ,C_minus,0.51,0.18334223509231265,0.1825702390375971
BHZ,C_minus,0.52,0.18692677775992203,0.18610854638461258
BHZ,C_minus,0.53,0.19051071478493484,0.18964443784595328
BHZ,C_minus,0.54,0.19409403455539856,0.19317787151803448
BHZ,C_minus,0.55,0.19767672546135992,0.196708800629752
BHZ,C_minus,0.56,0.20125877589490387,0.2002371716216268
BHZ,C_minus,0.5700000000000001,0.20484017425018994,0.20376296622831175
BHZ,C_minus,0.58,0.2084209089234905,0.20728610362002559
BHZ,C_minus,0.59,0.2120009683132287,0.21080656564607284
BHZ,C_minus,0.6,0.21558034082001493,0.21432428705891066
BHZ,C_minus,0.61,0.21915901484668554,0.21783923488423126
BHZ,C_minus,0.62,0.22273697879833967,0.22135136910047856
BHZ,C_minus,0.63,0.22631422108237734,0.2248606183245835
BHZ,C_minus,0.64,0.2298907301085367,0.22836696223148645
BHZ,C_minus,0.65,0.23346649428893168,0.2318703421400511
BHZ,C_minus,0.66,0.23704150203808944,0.23537072834464082
BHZ,C_minus,0.67,0.2406157417729878,0.23886805337006728
BHZ,C_minus,0.68,0.2441892019130935,0.24236229143740196
BHZ,C_minus,0.6900000000000001,0.24776187088039842,0.2458533727593138
BHZ,C_minus,0.7000000000000001,0.25133373709945844,0.24934127651707533
BHZ,C_minus,0.71,0.25490478899743024,0.2528259561476593
BHZ,C_minus,0.72,0.25847501500410863,0.2563073545869311
BHZ,C_minus,0.73,0.26204440355196457,0.2597854193115634
BHZ,C_minus,0.74,0.26561294307618216,0.2632601373430728
BHZ,C_minus,0.75,0.2691806220146966,0.26673142902526903
BHZ,C_minus,0.76,0.2727474288082313,0.2701992693817851
BHZ,C_minus,0.77,0.27631335190033507,0.27366361191655963
BHZ,C_minus,0.78,0.2798783797374204,0.2771244012403716
BHZ,C_minus,0.79,0.2834425007688003,0.2805816037299076
BHZ,C_minus,0.8,0.2870057034467257,0.2840351659196341
BHZ,C_minus,0.81,0.29056797622642294,0.28748503433077477
BHZ,C_minus,0.8200000000000001,0.2941293075661313,0.2909312047360342
BHZ,C_minus,0.8300000000000001,0.2976896859271405,0.29437357680251863
BHZ,C_minus,0.84,0.3012490997738279,0.2978121575980614
BHZ,C_minus,0.85,0.3048075375736954,0.30124686257055205
BHZ,C_minus,0.86,0.3083649877974079,0.30467767481506924
BHZ,C_minus,0.87,0.3119214389188297,0.3081045367671834
BHZ,C_minus,0.88,0.31547687941506214,0.31152739965601167
BHZ,C_minus,0.89,0.3190312977664814,0.31494622190868254
BHZ,C_minus,0.9,0.3225846824567748,0.3183609657449936
BHZ,C_minus,0.91,0.3261370219729794,0.32177158715968956
BHZ,C_minus,0.92,0.32968830480551803,0.32517804562368985
BHZ,C_minus,0.93,0.33323851944823757,0.3285802771892118
BHZ,C_minus,0.9400000000000001,0.33678765439844555,0.33197825494554334
BHZ,C_minus,0.9500000000000001,0.340335698156948,0.335371930367396
BHZ,C_minus,0.96,0.34388263922808593,0.3387612518164782
BHZ,C_minus,0.97,0.34742846611977374,0.3421461969562503
BHZ,C_minus,0.98,0.3509731673435353,0.3455267034560467
BHZ,C_minus,0.99,0.3545167314145416,0.34890272796078803
BHZ,C_minus,1.0,0.35805914685164836,0.35227421944679743
SSH,CL,0.0,0.0,1.4196960477961724e-20
SSH,CL,0.01,0.0019999996666666834,0.0018940448308234802
SSH,CL,0.02,0.003999997333333867,0.0037881138530856274
SSH,CL,0.03,0.005999991000004047,0.005682152053118605
SSH,CL,0.04,0.007999978666683732,0.007576157227329371
SSH,CL,0.05,0.00999995833338542,0.00947014576791637
SSH,CL,0.06,0.011999928000129603,0.011364095656290131
SSH,CL,0.07,0.01399988566694679,0.013258000737050628
SSH,CL,0.08,0.015999829333879466,0.015151849891553569
SSH,CL,0.09,0.017999757000984138,0.017045637315857554
SSH,CL,0.1,0.019999666668333336,0.018939348826524264
SSH,CL,0.11,0.021999556336017512,0.020833001912241876
SSH,CL,0.12,0.023999424004147184,0.02272655744663965
SSH,CL,0.13,0.02599926767285486,0.024620022612426393
SSH,CL,0.14,0.027999085342297038,0.02651340394711139
SSH,CL,0.15,0.029998875012656176,0.028406666404941043
SSH,CL,0.16,0.031998634684142824,0.03029982099228142
SSH,CL,0.17,0.03399836235699744,0.032192851502302444
SSH,CL,0.18,0.03599805603149256,0.03408574984258383
SSH,CL,0.19,0.03799771370793463,0.035978512880888595
SSH,CL,0.2,0.039997333386666174,0.03787114011831628
SSH,CL,0.21,0.04199691306806766,0.039763610115470915
SSH,CL,0.22,0.04399645075255955,0.041655919755902854
SSH,CL,0.23,0.045995944440604376,0.04354806537737616
